CEID,事件名稱 (HT9045 原文),本機發射,Report,備註
225,Reserved_14,—,,HT9045 韌體保留位，無語意
226,Reserved_15,—,,HT9045 韌體保留位，無語意
227,Reserved_16,—,,HT9045 韌體保留位，無語意
228,Reserved_17,—,,HT9045 韌體保留位，無語意
229,Reserved_18,—,,HT9045 韌體保留位，無語意
230,Reserved_19,—,,HT9045 韌體保留位，無語意
231,Reserved_20,—,,HT9045 韌體保留位，無語意
232,Reserved_21,—,,HT9045 韌體保留位，無語意
233,Reserved_22,—,,HT9045 韌體保留位，無語意
234,Reserved_23,—,,HT9045 韌體保留位，無語意
235,Reserved_24,—,,HT9045 韌體保留位，無語意
236,Reserved_25,—,,HT9045 韌體保留位，無語意
237,Reserved_26,—,,HT9045 韌體保留位，無語意
238,Reserved_27,—,,HT9045 韌體保留位，無語意
239,Reserved_28,—,,HT9045 韌體保留位，無語意
240,Reserved_29,—,,HT9045 韌體保留位，無語意
241,Reserved_30,—,,HT9045 韌體保留位，無語意
242,Reserved_31,—,,HT9045 韌體保留位，無語意
243,Reserved_32,—,,HT9045 韌體保留位，無語意
244,Reserved_33,—,,HT9045 韌體保留位，無語意
245,Reserved_34,—,,HT9045 韌體保留位，無語意
246,Reserved_35,—,,HT9045 韌體保留位，無語意
247,Reserved_36,—,,HT9045 韌體保留位，無語意
248,Reserved_37,—,,HT9045 韌體保留位，無語意
249,Reserved_38,—,,HT9045 韌體保留位，無語意
250,START Auto contact height,—,,測試機專屬(tester / ART / site / 溫控 / 清針 / OTD)，HT-160S 為 sorter，無此機構
251,SECS GEM consecutive failure,—,,測試機專屬(tester / ART / site / 溫控 / 清針 / OTD)，HT-160S 為 sorter，無此機構
252,Reserved_39,—,,HT9045 韌體保留位，無語意
253,Reserved_40,—,,HT9045 韌體保留位，無語意
254,Reserved_41,—,,HT9045 韌體保留位，無語意
255,Reserved_42,—,,HT9045 韌體保留位，無語意
256,Reserved_43,—,,HT9045 韌體保留位，無語意
257,Reserved_44,—,,HT9045 韌體保留位，無語意
258,Reserved_45,—,,HT9045 韌體保留位，無語意
259,Reserved_46,—,,HT9045 韌體保留位，無語意
260,Reserved_47,—,,HT9045 韌體保留位，無語意
261,Reserved_48,—,,HT9045 韌體保留位，無語意
262,Reserved_49,—,,HT9045 韌體保留位，無語意
263,Reserved_50,—,,HT9045 韌體保留位，無語意
264,Reserved_51,—,,HT9045 韌體保留位，無語意
265,Reserved_52,—,,HT9045 韌體保留位，無語意
266,Reserved_53,—,,HT9045 韌體保留位，無語意
267,Reserved_54,—,,HT9045 韌體保留位，無語意
268,Reserved_55,—,,HT9045 韌體保留位，無語意
269,Reserved_56,—,,HT9045 韌體保留位，無語意
270,Reserved_57,—,,HT9045 韌體保留位，無語意
271,Reserved_58,—,,HT9045 韌體保留位，無語意
272,AMR Supplement,★ 會發射,Report 2(SVID 38219 bitmap)+ Report 6,AMR 要料
273,AMR LDUnLD Status,★ 會發射,Report 3(SVID 38220 bitmap),AMR 交握中(Ready)
274,AMR LDUnLD Finish,★ 會發射,Report 4(SVID 38221 bitmap)+ Report 6,AMR 上/下料完成
275,AMR LD ID,★ 會發射,Report 7(SVID 38204),Color CCD 讀到身分盤 2D 後立即上傳
